SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY
MLS Listing,,Condo/Co-op,1620 MANHATTAN Ave Unit B6,Union City
MLS Listing,,Condo/Co-op,314 PATERSON PLANK Rd Unit 3A,Union City
MLS Listing,,Multi-Family (2-4 Unit),517 LINCOLN St,Union City
MLS Listing,,Condo/Co-op,217 44TH St #7,Union City
MLS Listing,,Condo/Co-op,413 9TH St #303,Union City
MLS Listing,,Condo/Co-op,217 44TH St #23,Union City
MLS Listing,,Vacant Land,201 NEW YORK Ave,Union City
MLS Listing,,Multi-Family (2-4 Unit),516 24TH St,Union City
MLS Listing,,Multi-Family (2-4 Unit),106 40TH St,Union City
MLS Listing,,Multi-Family (2-4 Unit),2510 ADAM Pl,Union City
MLS Listing,,Condo/Co-op,724 23RD St #1,Union City
MLS Listing,,Multi-Family (2-4 Unit),727 24TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #804,Union City
MLS Listing,,Condo/Co-op,320 49TH St Unit 1C,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #2115,Union City
MLS Listing,,Multi-Family (2-4 Unit),522 4th,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #2002,Union City
MLS Listing,,Multi-Family (2-4 Unit),710 24TH St,Union City
MLS Listing,,Condo/Co-op,724 23RD St #3,Union City
MLS Listing,,Multi-Family (2-4 Unit),149 37TH St,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #305,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #503,Union City
MLS Listing,,Condo/Co-op,2416 WEST St #202,Union City
MLS Listing,,Condo/Co-op,309 PALISADE Ave #3,Union City
MLS Listing,,Condo/Co-op,309 PALISADE Ave #1,Union City
MLS Listing,,Multi-Family (2-4 Unit),3705 KENNEDY Blvd,Union City
MLS Listing,,Multi-Family (5+ Unit),902-904 22nd St,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1907,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #701,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #903,Union City
MLS Listing,,Multi-Family (2-4 Unit),212 45th St,Union City
MLS Listing,,Multi-Family (2-4 Unit),3803 PALISADE Ave,Union City
MLS Listing,,Condo/Co-op,305 MANHATTAN Ave Unit 2B,Union City
MLS Listing,,Condo/Co-op,4315 PARK Ave Unit P78,Union City
MLS Listing,,Single Family Residential,304 6TH St,Union City
MLS Listing,,Condo/Co-op,413-415 9TH St #201,Union City
MLS Listing,,Condo/Co-op,527-529 34TH St Unit C4,Union City
MLS Listing,,Condo/Co-op,910 SUMMIT Ave #6,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1520,Union City
MLS Listing,,Multi-Family (2-4 Unit),310 49TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #417,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1815,Union City
MLS Listing,,Condo/Co-op,314 10TH St #2,Union City
MLS Listing,,Condo/Co-op,215 ST MICHAELS Walk,Union City
MLS Listing,,Multi-Family (2-4 Unit),505 5th St #3,Union City
MLS Listing,,Condo/Co-op,3312 HUDSON Ave Unit 3L,Union City
MLS Listing,,Multi-Family (2-4 Unit),640 37th St,Union City
MLS Listing,,Condo/Co-op,140 36TH St #401,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #914,Union City
MLS Listing,,Vacant Land,628 36th St,Union City
MLS Listing,,Condo/Co-op,508 2nd St Unit 4A,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #201,Union City
MLS Listing,,Condo/Co-op,3315 PLEASANT Ave #423,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1109,Union City
MLS Listing,,Multi-Family (2-4 Unit),516 14TH St,Union City
MLS Listing,,Multi-Family (2-4 Unit),923 18TH St,Union City
MLS Listing,,Multi-Family (2-4 Unit),211 45TH St,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1402,Union City
MLS Listing,,Condo/Co-op,515 30TH St,Union City
MLS Listing,,Condo/Co-op,515 30TH St Unit 2B,Union City
MLS Listing,,Multi-Family (2-4 Unit),206 38TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1217,Union City
MLS Listing,,Multi-Family (2-4 Unit),624 12TH St,Union City
MLS Listing,,Condo/Co-op,3312 HUDSON Ave Unit 2A,Union City
MLS Listing,,Multi-Family (2-4 Unit),643 38TH St,Union City
MLS Listing,,Condo/Co-op,2519 WEST St #3,Union City
MLS Listing,,Condo/Co-op,549 41ST St #3,Union City
MLS Listing,,Condo/Co-op,549 41ST St #2,Union City
MLS Listing,,Condo/Co-op,549 41ST St #1,Union City
MLS Listing,,Condo/Co-op,633 38TH St #2,Union City
MLS Listing,,Condo/Co-op,633 38TH St #1,Union City
MLS Listing,,Condo/Co-op,211 40th St Unit 2A,Union City
MLS Listing,,Condo/Co-op,314 PATERSON PLANK Rd Unit 5A,Union City
MLS Listing,,Condo/Co-op,4711 BROADWAY Unit 1A,Union City
MLS Listing,,Multi-Family (2-4 Unit),219 46TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #315,Union City
MLS Listing,,Multi-Family (2-4 Unit),1607 Kerrigan Ave,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1219,Union City
MLS Listing,,Multi-Family (2-4 Unit),526 27TH St,Union City
MLS Listing,,Condo/Co-op,4315 Park Ave Unit 6K,Union City
MLS Listing,,Condo/Co-op,209 40TH St Unit 2A,Union City
MLS Listing,,Multi-Family (2-4 Unit),812 10TH St,Union City
MLS Listing,,Condo/Co-op,1300 CENTRAL Ave Unit 2L,Union City
MLS Listing,,Single Family Residential,203 Bergenline Ave,Union City
MLS Listing,,Condo/Co-op,401 Bergenline Ave,Union City
MLS Listing,,Multi-Family (2-4 Unit),2303 New York Ave,Union City
MLS Listing,,Condo/Co-op,214 48TH St #15,Union City
MLS Listing,,Vacant Land,418 6TH St,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1101,Union City
MLS Listing,,Condo/Co-op,413-415 9TH St #503,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #104,Union City
MLS Listing,,Condo/Co-op,3121 CENTRAL Ave Unit 3D,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1516,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #213,Union City
MLS Listing,,Condo/Co-op,1209 SUMMIT Ave #409,JERSEY CITY
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #803,Union City
MLS Listing,,Condo/Co-op,200 PATERSON PLANK Rd #408,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #602,Union City
MLS Listing,,Multi-Family (2-4 Unit),619 38TH St,Union City
MLS Listing,,Single Family Residential,713 7TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1811,Union City
MLS Listing,,Multi-Family (2-4 Unit),317 7TH St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1818,Union City
MLS Listing,,Multi-Family (2-4 Unit),812 CENTRAL Ave,Union City
MLS Listing,,Condo/Co-op,1614 SUMMIT Ave #12,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1515,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1417,Union City
MLS Listing,,Condo/Co-op,616 10TH St #4,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #114,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #713,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1901,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1218,Union City
MLS Listing,,Condo/Co-op,204 48th St Unit 2R,Union City
MLS Listing,,Condo/Co-op,801 Palisade Ave #201,Union City
MLS Listing,,Condo/Co-op,2408 SUMMIT Ave #1,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1217,Union City
MLS Listing,,Condo/Co-op,3312 HUDSON Ave Unit 4C,Union City
MLS Listing,,Condo/Co-op,3312 HUDSON Ave Unit 12C,Union City
MLS Listing,,Single Family Residential,61 Perryville Rd,Union Township
MLS Listing,,Condo/Co-op,809 22ND St #908,Union City
MLS Listing,,Multi-Family (2-4 Unit),720 26th St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1707,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1605,Union City
MLS Listing,,Condo/Co-op,500 CENTRAL Ave #1610,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1102,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1006,Union City
MLS Listing,,Multi-Family (5+ Unit),1700-06 Kerrigan Ave,Union City
MLS Listing,,Condo/Co-op,380 MOUNTAIN Rd #1714,Union City
MLS Listing,,Condo/Co-op,222-224 48TH St Unit 2B,Union City
MLS Listing,,Condo/Co-op,135 38TH St #304,Union City
MLS Listing,,Multi-Family (2-4 Unit),809 18TH St,Union City
MLS Listing,,Condo/Co-op,222-224 48TH St Unit 1A,Union City
MLS Listing,,Condo/Co-op,310 10TH St #3,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1002,Union City
MLS Listing,,Multi-Family (2-4 Unit),2003 NEW YORK Ave,Union City
MLS Listing,,Single Family Residential,626 13th St,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #416,Union City
MLS Listing,,Multi-Family (5+ Unit),2014 Bergenline Ave,Union City
MLS Listing,,Condo/Co-op,209-211 40TH St Unit 3A,Union City
MLS Listing,,Condo/Co-op,100 MANHATTAN Ave #1717,Union City
MLS Listing,,Condo/Co-op,4315 PARK Ave Unit 7K,Union City
MLS Listing,,Condo/Co-op,213 48TH St Unit 3A,Union City
MLS Listing,,Condo/Co-op,209 40TH St Unit 1A,Union City
MLS Listing,,Multi-Family (2-4 Unit),830 28TH St,Union City
MLS Listing,,Multi-Family (2-4 Unit),611 22nd St,Union City
MLS Listing,,Multi-Family (5+ Unit),527 42nd St,Union City
MLS Listing,,Multi-Family (2-4 Unit),423 4TH St,Union City
MLS Listing,,Condo/Co-op,620 38th St #506,Union City
MLS Listing,,Multi-Family (2-4 Unit),1220 BERGENLINE Ave,Union City
